Project,Workflow,Job,Step,failures,runtime diff in job, runtime diff in step,Runtime with fix,Runtime wo fix,step-runtime w fix,step-runtime wo fix,commit sha with fix,commit sha wo fix,build log with fix,build log wo fix
UniversalMediaServer,CI,Linux 20.04,Run tests,,26.0,0.0,110.0,107.0,81.0,81.0,efbee5e05cb48d524d2882335544ab6ab2c10688,9d88e952415d87a3d979872e9f30c859f10b1a45,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517209674/jobs/7956237739,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517209758/jobs/7956237821
UniversalMediaServer,CI,Linux 22.04,Run tests,,30.0,2.0,67.0,77.0,47.0,49.0,efbee5e05cb48d524d2882335544ab6ab2c10688,9d88e952415d87a3d979872e9f30c859f10b1a45,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517209674/jobs/7956237805,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517209758/jobs/7956237958
spring-framework-petclinic,Java CI with Maven,build (17),Build with Maven,,22.0,2.0,49.0,54.0,32.0,34.0,5741a764ee21c9fccb631c7796c7d81b7b236a07,2119fbb4c513cc903af2c5fed5599dfa40a9cb6c,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4517209878/jobs/7956238070,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4517209897/jobs/7956238068
fabric-sdk-java,Build,test (8),Integration tests,,56.0,45.0,1045.0,1086.0,1030.0,1075.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517210005/jobs/7956238232,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517210078/jobs/7956238297
fabric-sdk-java,Build,test (11),Integration tests,,13.0,-1.0,1038.0,1040.0,1027.0,1026.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517210005/jobs/7956238307,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517210078/jobs/7956238354
fabric-sdk-java,Build,test (17),Integration tests,,14.0,2.0,1133.0,1135.0,1121.0,1123.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517210005/jobs/7956238370,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517210078/jobs/7956238407
mcMMO,Compile and test,Maven compiler,Build via Maven,,6.0,-10.0,132.0,120.0,114.0,104.0,ff2aca6ec1a9a7ff554f94076098c2a9c0a035c6,9b588d400fd07903bde597df8dd301164ee3f620,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4517606135/jobs/7956929430,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4517606168/jobs/7956929461
mcMMO,Compile and test,Maven compiler,Build via Maven,,31.0,9.0,196.0,203.0,172.0,181.0,ff2aca6ec1a9a7ff554f94076098c2a9c0a035c6,9b588d400fd07903bde597df8dd301164ee3f620,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4517606196/jobs/7956929499,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4517606231/jobs/7956929565
mcMMO,Compile and test,Maven compiler,Build via Maven,,20.0,-1.0,196.0,194.0,174.0,173.0,ff2aca6ec1a9a7ff554f94076098c2a9c0a035c6,9b588d400fd07903bde597df8dd301164ee3f620,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4517606281/jobs/7956929656,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4517606303/jobs/7956929713
fabric-sdk-java,Build,test (8),Integration tests,,-11.0,-22.0,1000.0,978.0,989.0,967.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784328/jobs/7957216960,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784351/jobs/7957217001
fabric-sdk-java,Build,test (11),Integration tests,,42.0,30.0,979.0,1009.0,967.0,997.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784328/jobs/7957216989,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784351/jobs/7957217038
fabric-sdk-java,Build,test (17),Integration tests,,16.0,5.0,1027.0,1034.0,1018.0,1023.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784328/jobs/7957217025,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784351/jobs/7957217070
fabric-sdk-java,Build,test (8),Integration tests,,205.0,190.0,980.0,1173.0,968.0,1158.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784494/jobs/7957217273,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784505/jobs/7957217337
fabric-sdk-java,Build,test (11),Integration tests,,36.0,23.0,1111.0,1136.0,1100.0,1123.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784494/jobs/7957217308,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784505/jobs/7957217379
fabric-sdk-java,Build,test (17),Integration tests,,101.0,85.0,1032.0,1122.0,1021.0,1106.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784494/jobs/7957217341,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517784505/jobs/7957217412
fabric-sdk-java,Build,test (8),Integration tests,,-33.0,-46.0,1031.0,986.0,1019.0,973.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517952230/jobs/7957502790,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517952209/jobs/7957502793
fabric-sdk-java,Build,test (11),Integration tests,,27.0,16.0,1019.0,1032.0,1005.0,1021.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517952230/jobs/7957502846,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517952209/jobs/7957502856
fabric-sdk-java,Build,test (17),Integration tests,,-37.0,-47.0,1050.0,1001.0,1038.0,991.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517952230/jobs/7957502904,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517952209/jobs/7957502915
spring-framework-petclinic,Java CI with Maven,build (19),Build with Maven,,15.0,3.0,47.0,49.0,34.0,37.0,5741a764ee21c9fccb631c7796c7d81b7b236a07,2119fbb4c513cc903af2c5fed5599dfa40a9cb6c,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4520529838/jobs/7961703939,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4520529828/jobs/7961703775
spring-framework-petclinic,Java CI with Maven,build (19),Build with Maven,,17.0,2.0,44.0,44.0,27.0,29.0,5741a764ee21c9fccb631c7796c7d81b7b236a07,2119fbb4c513cc903af2c5fed5599dfa40a9cb6c,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4520529837/jobs/7961703786,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4520529839/jobs/7961703907
spring-framework-petclinic,Java CI with Maven,build (19),Build with Maven,,27.0,13.0,40.0,52.0,25.0,38.0,5741a764ee21c9fccb631c7796c7d81b7b236a07,2119fbb4c513cc903af2c5fed5599dfa40a9cb6c,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4520529834/jobs/7961704673,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4520529877/jobs/7961704082
